#,dataset_id,min(minimumDepthInMeters),max(maximumDepthInMeters)
156,"""f93a5880-533f-462d-8c89-2ff311e9c072""",16.0,3543.0
157,"""be92c271-4640-4086-9e3c-2d47350dccfd""",9.0,204.0
158,"""52ccf89d-12a5-47c3-8b36-e3e9e6212c5b""",0.0,10000.0
159,"""f4d1e85c-a6b6-4497-b5ae-c019bc71a199""",59.900002,394.0
160,"""6acbc1d8-419e-4b2f-963f-0d8770d8297b""",0.0,1041.199951
161,"""ea962cd8-a6a5-4c1e-a2d2-5de6fcc5fbc8""",0.0,200.0
162,"""0bf88234-3f7f-4744-8663-40e647b950f8""",0.0,100.0
163,"""b2ca08e7-2b85-46e6-98ac-ac14a52853a3""",0.0,50.0
164,"""074dec19-0bf1-4570-bb58-7dc4716a093d""",0.0,45.0
165,"""d2fe1f97-a9a8-4911-bb47-2c764ce64fb0""",9.14,420.623993
166,"""6b07e4bb-4bfb-4d38-a2f4-db945248f215""",0.0,500.0
167,"""e548f7dc-7f39-4597-8258-351bfe98aaf0""",0.0,500.0
168,"""3f2b79b2-4c4e-4f12-ab2c-91b874646384""",2.0,45.0
169,"""779199d7-d691-41e5-aa38-4acd4e8098f6""",4036.0,4171.0
170,"""3736d588-2964-4be9-97c4-bcfdd071c2fe""",1.0,15.0
171,"""ab92fefd-8de6-4f37-8493-c1d168c0f10c""",0.3,310.0
172,"""bcbabc5e-a0b9-4ddd-9e0e-dd99f01edefc""",0.0,260.0
173,"""055f6a15-54c3-486a-8252-9310e556262c""",0.3,21.0
174,"""4140aa4d-3217-4693-87eb-e3d344835725""",0.0,29.0
175,"""3f3a3f44-5734-4fa6-a62d-7f1c998a3259""",2.0,19.0
176,"""41dd1b13-c30d-44ce-b4ad-ba0e648b4351""",4794.0,5076.0
177,"""6ca7564e-82dd-42ec-b75a-a4164c3dda29""",3.0,15.7
178,"""89bec5f7-2fa7-458f-a3f5-f77b3b58fdaa""",3.0,45.0
179,"""dde3f81b-dc2f-4fb0-92de-a56fcdf6c63d""",1050.0,7800.0
180,"""cbd9ed79-4fae-42ed-8ee3-00ca6b5028f2""",0.0,250.0
181,"""f504ff3b-0cdc-4145-ac73-2fc9ae2c4784""",0.5,22.0
182,"""ad84df91-addc-47a5-a591-ed4b6b6d9c07""",1.0,15.0
183,"""dfba2240-b672-4759-9171-d269bba44a70""",-3.0,-5.0
184,"""c5e7e55f-2673-4155-a86d-8bd75f84b1c4""",20.0,20.0
185,"""043e4751-b140-45e0-af27-2170b708a6bc""",1.5,90.0
186,"""8d23af49-296a-4777-8e31-8b2c2dedad26""",20.0,60.0
187,"""e525c887-82e3-4594-a3c5-0e238d40c594""",5562.0,5777.0
188,"""74312b5c-a38f-4e72-a8a7-d938dbcd23e4""",0.0,7.0
189,"""238d650e-0f11-4439-b228-87693689676f""",4841.0,5275.0
190,"""bc0e73ce-0335-4a5c-9551-2d702e2d21c1""",0.0,25.0
191,"""0cdfa946-e400-494f-97d5-1282ee22e403""",0.0,2.0
192,"""0aa9762f-8b38-4515-bd49-f287a4feffd5""",4107.0,4363.0
193,"""aefdfcac-74b8-42ac-88c6-ae67133ee4f3""",0.0,280.0
194,"""be61dad8-c6d9-49fa-a203-91898031c1a2""",0.0,25.0
195,"""af0e14af-a5d9-4bb8-8357-82b34e6369c8""",0.0,50.0
196,"""4323830c-77d9-42d9-8341-794480435d66""",46.0,207.5
197,"""4f3ea0e0-3b75-4062-8199-318df5164d4c""",1.0,5.0
198,"""7b4c18af-49b9-4d33-849f-b2c79a3d8317""",0.0,1.0
199,"""7c38fae2-1505-44eb-abfa-44e633dfbdc8""",0.1,15.0
200,"""e2c9ade4-5f4d-44bb-a7ff-b2500e3ee0cc""",45.0,3222.0
201,"""55cdfd04-c597-43c1-9420-c1c2601071a4""",0.0,31.379999
202,"""af047e0f-d9f7-4785-963e-310629a20f52""",32.0,800.0
203,"""06a2ecf5-c1cc-422b-8a94-137995e97f7c""",0.0,0.0
204,"""838de48c-aa45-4771-971f-1f1796f9bf75""",200.0,1380.0
205,"""bb27bf02-86c8-4171-a716-d22a8b9fa9a1""",1.0,2.0
206,"""1f5c0d6a-4018-470d-b6ca-53761e7a98cc""",323.0,643.0
207,"""6951ef75-9c6d-4a89-8c3e-59d73d2c0bf2""",4232.0,5174.0
208,"""9f6b5f26-3127-4061-be4f-27b45795f7a0""",1.0,14.0
209,"""34991b8f-e6a9-4870-812c-7ca24a729d13""",30.0,100.0
210,"""47963083-c127-4cd6-a435-23353b44be94""",7.0,55.0
211,"""09af1850-4be0-4840-8cac-b7088d3cd4ec""",0.0,0.0
212,"""053a0800-c4b6-457d-8ea8-880aeb105b39""",12.0,600.0
213,"""792f35ec-61cc-4b80-b929-429f1e6adf3f""",0.0,40.0
214,"""2add9286-4793-44b8-a00e-4578a7776c12""",2006.0,4825.0
215,"""6eaeb6ae-7ffa-4bee-8bdf-c638c36e9e31""",0.0,8.0
216,"""17a5ef9f-f924-404b-b742-97c4df97a862""",0.0,40.0
217,"""f5005f2d-c05b-436f-9d1a-5dbc186ee4a8""",0.0,0.0
218,"""83b20488-0f08-40ab-8d7b-db32216cd80d""",7.0,91.0
219,"""7fe97cd7-1d94-475a-bbec-144fbee1efd8""",212.0,3732.0
220,"""f8bba1da-59a0-47f2-8b90-b1b6c7ee684f""",0.0,0.0
221,"""31b19749-85e6-44f6-8edb-33abe12b3ec7""",0.0,41.0
222,"""73fe766c-c720-42f3-9b4d-4674380389c5""",1.616081,2208.204346
223,"""e6555856-e776-49b7-b0d3-2a5408433ef5""",70.0,1630.0
224,"""c4b97a90-db88-43c6-9bab-d45298213475""",0.0,0.0
225,"""0a9b3c48-af3d-424f-b175-c8444ce202d5""",0.0,177.0
226,"""d01ca3e3-0004-4113-a4b1-74409e4e82fc""",0.0,0.0
227,"""36a3b726-1080-41ae-a401-81ac5a83457e""",55.476189,697.166687
228,"""27ed4683-952b-4857-b5a0-568c7a88fe8d""",0.0,0.0
229,"""7a4427f6-67ee-4cc1-b95f-3045523420a1""",1.0,20.0
230,"""2d60dbdc-e801-4c66-991e-d484e8b08227""",0.9436,55.183601
231,"""6eee18aa-3e84-4e4d-878e-faae2574b4f5""",256.643341,3412.530518
232,"""955aac04-0035-4627-855f-a2db2c777606""",0.0,0.0
233,"""e40ceb92-0698-4154-83b7-ea763c61a6cb""",601.0,1119.0
234,"""79836eba-9a98-45d5-b389-702f4b3f8f76""",0.0,0.0
235,"""b1336555-5a7b-4a0a-9d1a-18d33eaa921e""",0.0,0.0
236,"""13cc685d-8da5-4c0b-beb5-0e4ba21ac861""",4365.700195,4977.299805
237,"""ca0effc7-48e3-4fe5-b1b8-1c3a46b81d37""",0.0,400.0
238,"""13edfad1-54eb-486e-9711-f9e9eb01eb1a""",2.3,74.0
239,"""5f4a2f3a-1b25-4485-aa82-712c9562f673""",1.24,27.0
240,"""48e988d2-f5f2-4b69-a1a1-6fe06e0fbd29""",0.3,3328.0
241,"""22aa5133-5670-49a8-b48e-dbfbb56c5d9a""",0.0,0.0
242,"""7f4428a6-f463-45d7-b603-43982b0b089a""",2000.0,4850.0
243,"""8bb5f20d-b89c-40ab-b42f-d2b0d581f36d""",0.5,1.5
244,"""6a75e8b1-2412-4aff-9268-e219af09b2d9""",0.0,145.0
245,"""6b4593d1-587c-44a5-8af0-d046ae131b5b""",0.0,7.5
246,"""02be4d6c-76fa-410c-8968-49e5110d38b1""",375.0,2565.0
247,"""82b78486-c781-4959-a2ba-7b320606e93f""",0.0,2700.0
248,"""cef48fb7-f74c-45a6-9871-7c5f346b7729""",0.0,0.6
249,"""2db91196-579a-4f1f-8f1f-4c24a4b6b2c2""",0.0,0.0
250,"""cc2b624b-9f63-4fbb-9a60-d62bb5e63ec0""",4026.0,4299.0
251,"""73741f8a-713e-45c0-a6ba-1be9fa50770f""",4231.0,4425.0
252,"""34776b3e-9a42-450e-8a25-42a050bcbb3e""",0.0,170.0
253,"""7fa1c161-8d37-47ac-9a5a-88f55f28717b""",6.0,6.0
254,"""4f070608-41af-4ae4-aa9d-546d5bfac250""",104.0,104.0
255,"""1f78b466-8207-4f2d-9be1-fad82e10d2d8""",3.2,10.0
256,"""ee591f31-1844-44b4-91ab-57e6b5c87101""",3.0,3.0
257,"""6d5df2d0-f41d-4d92-87c4-8642d5a39cfa""",0.0,0.0
258,"""6e629203-5031-4338-861f-c4488fc82807""",0.0,97.0
259,"""76c7fa0a-b609-401b-8883-95ccbc1dc84e""",0.0,35.0
260,"""9be8f8cc-71e8-443b-91d2-2d09ad517a56""",0.0,14.0
261,"""946a04da-69e3-4255-8dcd-13b5a70b6152""",3.0,118.0
262,"""f9672738-4480-4987-96d6-9e9262ff04f9""",2.0,6.0
263,"""7dd348df-5e3b-4b37-8758-7a01e1234555""",0.0,0.0
264,"""5eafc1c9-9892-4bff-9a8e-8431ad91ebbe""",0.0,73.0
265,"""5fd0a2a6-db76-4268-be7e-6e11209dfab8""",0.0,0.0
266,"""6c853c87-0d9b-49ba-99ff-182a46a0fe1d""",0.0,0.0
267,"""5bb57395-5f90-4c8d-8f84-e2ead1f28a3d""",0.0,4500.0
268,"""caedb284-3aee-4638-b8a9-ce6766992445""",0.0,18.0
269,"""2dc8ac96-9909-49e7-b003-29a0c6fdcf93""",0.0,0.0
270,"""409ce59b-e26f-4196-be98-d79a52c8bf76""",0.0,0.0
271,"""36861ccc-815d-40af-99e6-2e1a4eb1d5a6""",1.0,2.0
272,"""c9ef0ee7-2aa4-416e-8ba1-4b7863a67542""",0.0,0.0
273,"""a90149f7-f988-4014-9c3d-40bfda54b361""",0.0,0.0
274,"""0e353f8d-53eb-4f17-af14-9f7ba021b175""",0.0,1.0
275,"""13df6cd5-b38e-46b3-96c3-f86f8c7d378e""",93.0,508.0
276,"""157729b7-1053-486a-aa79-1173ed01a895""",2.0,4.0
277,"""9c59b690-76b7-4115-991b-a97fa770e465""",0.0,13.8
278,"""b9bfb219-1d5c-450e-9b26-fd377aee8561""",0.0,0.0
279,"""1e7edbca-8507-4abd-8acb-afa15845b614""",3.0,21.0
280,"""b9a715fe-6f21-4520-a1dd-63715a6afcfd""",672.0,5273.0
281,"""ad407107-a13e-46ea-bd96-9279efccf706""",0.0,0.0
282,"""5f499a34-f103-4146-bda1-1880fd8dfda0""",0.0,1.5
283,"""108c84f3-ea9f-47cd-82c1-6b89ea9b292c""",0.0,1.0
